participant,type,score,memory_score,image_memory_order,food_order,quality,attract,mood,image_id
0,wine,15,high,3,2,低质量,无吸引力,正面,1
0,wine,10,low,3,1,中质量,有吸引力,正面,2
0,cake,15,high,2,2,高质量,有吸引力,正面,3
0,cake,10,low,2,1,低质量,无吸引力,正面,4
0,sandwich,10,high,4,2,高质量,有吸引力,正面,5
0,sandwich,18,low,4,1,低质量,无吸引力,正面,6
0,donut,16,high,1,2,中质量,有吸引力,正面,7
0,donut,10,low,1,1,低质量,无吸引力,正面,8
1,wine,20,high,4,1,中质量,有吸引力,正面,1
1,wine,17,low,4,2,高质量,无吸引力,正面,2
1,cake,25,high,3,2,高质量,有吸引力,正面,3
1,cake,10,low,3,1,低质量,无吸引力,正面,4
1,sandwich,23,high,1,2,高质量,有吸引力,正面,5
1,sandwich,12,low,1,1,中质量,无吸引力,正面,6
1,donut,20,high,2,1,中质量,有吸引力,正面,7
1,donut,15,low,2,2,低质量,无吸引力,正面,8
2,wine,18,high,3,2,高质量,有吸引力,正面,1
2,wine,12,low,3,1,低质量,无吸引力,正面,2
2,cake,28,high,1,2,高质量,有吸引力,正面,3
2,cake,30,low,1,1,中质量,无吸引力,正面,4
2,sandwich,18,high,4,2,高质量,有吸引力,正面,5
2,sandwich,12,low,4,1,中质量,无吸引力,正面,6
2,donut,18,high,2,1,中质量,有吸引力,正面,7
2,donut,10,low,2,2,低质量,无吸引力,正面,8
3,wine,30,high,2,1,中质量,无吸引力,非常正面,1
3,wine,25,low,2,2,中质量,有吸引力,非常正面,2
3,cake,48,high,3,1,高质量,有吸引力,非常正面,3
3,cake,24,low,3,2,高质量,无吸引力,非常正面,4
3,sandwich,30,high,4,2,中质量,无吸引力,非常正面,5
3,sandwich,38,low,4,1,高质量,有吸引力,非常正面,6
3,donut,20,high,1,1,高质量,有吸引力,非常正面,7
3,donut,11,low,1,2,低质量,无吸引力,非常正面,8
4,wine,33,high,3,2,高质量,无吸引力,非常正面,1
4,wine,35,low,3,1,高质量,有吸引力,非常正面,2
4,cake,20,high,4,1,高质量,有吸引力,非常正面,3
4,cake,30,low,4,2,高质量,无吸引力,非常正面,4
4,sandwich,20,high,2,2,高质量,有吸引力,非常正面,5
4,sandwich,34,low,2,1,高质量,无吸引力,非常正面,6
4,donut,16,high,1,2,高质量,无吸引力,非常正面,7
4,donut,18,low,1,1,高质量,有吸引力,非常正面,8
5,wine,15,high,3,1,中质量,有吸引力,中立,1
5,wine,10,low,3,2,中质量,无吸引力,中立,2
5,cake,20,high,4,1,高质量,有吸引力,中立,3
5,cake,10,low,4,2,低质量,无吸引力,中立,4
5,sandwich,20,high,2,2,高质量,有吸引力,中立,5
5,sandwich,10,low,2,1,低质量,无吸引力,中立,6
5,donut,13,high,1,2,高质量,无区别,中立,7
5,donut,10,low,1,1,中质量,无区别,中立,8
6,wine,25,high,3,1,中质量,有吸引力,正面,1
6,wine,35,low,3,2,高质量,无吸引力,正面,2
6,cake,32,high,2,2,中质量,无吸引力,正面,3
6,cake,15,low,2,1,中质量,有吸引力,正面,4
6,sandwich,35,high,4,1,中质量,有吸引力,正面,5
6,sandwich,45,low,4,2,高质量,无吸引力,正面,6
6,donut,35,high,1,2,中质量,无吸引力,正面,7
6,donut,45,low,1,1,高质量,有吸引力,正面,8
7,wine,40,high,4,1,中质量,有吸引力,非常正面,1
7,wine,20,low,4,2,中质量,无吸引力,非常正面,2
7,cake,30,high,2,2,高质量,有吸引力,非常正面,3
7,cake,30,low,2,1,中质量,无吸引力,非常正面,4
7,sandwich,20,high,3,2,高质量,无吸引力,非常正面,5
7,sandwich,30,low,3,1,高质量,有吸引力,非常正面,6
7,donut,10,high,1,1,中质量,有吸引力,非常正面,7
7,donut,15,low,1,2,中质量,无吸引力,非常正面,8
8,wine,15,high,4,2,高质量,无吸引力,正面,1
8,wine,25,low,4,1,高质量,有吸引力,正面,2
8,cake,20,high,2,1,高质量,有吸引力,正面,3
8,cake,10,low,2,2,低质量,无吸引力,正面,4
8,sandwich,30,high,1,1,中质量,有吸引力,正面,5
8,sandwich,15,low,1,2,中质量,无吸引力,正面,6
8,donut,15,high,3,2,中质量,无区别,正面,7
8,donut,10,low,3,1,低质量,无区别,正面,8
9,wine,35,high,4,1,中质量,无吸引力,正面,1
9,wine,45,low,4,2,中质量,有吸引力,正面,2
9,cake,20,high,1,1,中质量,有吸引力,正面,3
9,cake,15,low,1,2,低质量,无吸引力,正面,4
9,sandwich,12,high,2,2,中质量,无吸引力,正面,5
9,sandwich,20,low,2,1,高质量,有吸引力,正面,6
9,donut,18,high,3,2,中质量,有吸引力,正面,7
9,donut,12,low,3,1,低质量,无吸引力,正面,8
10,wine,18,high,3,1,中质量,无区别,正面,1
10,wine,22,low,3,2,中质量,无区别,正面,2
10,cake,26,high,2,1,中质量,有吸引力,正面,3
10,cake,10,low,2,2,低质量,无吸引力,正面,4
10,sandwich,35,high,4,2,高质量,有吸引力,正面,5
10,sandwich,38,low,4,1,低质量,无吸引力,正面,6
10,donut,18,high,1,2,低质量,无区别,正面,7
10,donut,24,low,1,1,低质量,无区别,正面,8
11,wine,15,high,4,1,中质量,无吸引力,中立,1
11,wine,22,low,4,2,中质量,有吸引力,中立,2
11,cake,18,high,2,1,中质量,有吸引力,中立,3
11,cake,13,low,2,2,低质量,无吸引力,中立,4
11,sandwich,15,high,1,2,高质量,无吸引力,中立,5
11,sandwich,25,low,1,1,高质量,有吸引力,中立,6
11,donut,15,high,3,1,中质量,有吸引力,中立,7
11,donut,10,low,3,2,低质量,无吸引力,中立,8
12,wine,20,high,3,2,高质量,有吸引力,非常正面,1
12,wine,30,low,3,1,中质量,无吸引力,非常正面,2
12,cake,30,high,4,1,高质量,无吸引力,非常正面,3
12,cake,20,low,4,2,高质量,有吸引力,非常正面,4
12,sandwich,20,high,2,1,中质量,无吸引力,非常正面,5
12,sandwich,30,low,2,2,中质量,有吸引力,非常正面,6
12,donut,20,high,1,1,中质量,无吸引力,非常正面,7
12,donut,15,low,1,2,高质量,有吸引力,非常正面,8
13,wine,24,high,4,2,高质量,有吸引力,非常正面,1
13,wine,18,low,4,1,高质量,无吸引力,非常正面,2
13,cake,26,high,3,2,高质量,有吸引力,非常正面,3
13,cake,38,low,3,1,高质量,无吸引力,非常正面,4
13,sandwich,30,high,1,1,高质量,有吸引力,非常正面,5
13,sandwich,48,low,1,2,高质量,无吸引力,非常正面,6
13,donut,30,high,2,1,高质量,有吸引力,非常正面,7
13,donut,10,low,2,2,中质量,无吸引力,非常正面,8
14,wine,30,high,1,1,高质量,有吸引力,正面,1
14,wine,15,low,1,2,中质量,无吸引力,正面,2
14,cake,20,high,3,1,高质量,有吸引力,正面,3
14,cake,10,low,3,2,中质量,无吸引力,正面,4
14,sandwich,20,high,2,1,高质量,有吸引力,正面,5
14,sandwich,15,low,2,2,中质量,无吸引力,正面,6
14,donut,15,high,4,1,高质量,有吸引力,正面,7
14,donut,10,low,4,2,低质量,无吸引力,正面,8
15,wine,30,high,3,1,高质量,有吸引力,非常正面,1
15,wine,15,low,3,2,中质量,无吸引力,非常正面,2
15,cake,26,high,4,1,高质量,有吸引力,非常正面,3
15,cake,18,low,4,2,低质量,无吸引力,非常正面,4
15,sandwich,40,high,2,1,高质量,有吸引力,非常正面,5
15,sandwich,21,low,2,2,低质量,无吸引力,非常正面,6
15,donut,33,high,1,1,高质量,有吸引力,非常正面,7
15,donut,12,low,1,2,低质量,无吸引力,非常正面,8
16,wine,18,high,1,2,高质量,有吸引力,非常正面,1
16,wine,12,low,1,1,中质量,无吸引力,非常正面,2
16,cake,15,high,3,1,中质量,有吸引力,非常正面,3
16,cake,10,low,3,2,低质量,无吸引力,非常正面,4
16,sandwich,22,high,2,2,高质量,有吸引力,非常正面,5
16,sandwich,15,low,2,1,中质量,无吸引力,非常正面,6
16,donut,18,high,4,1,高质量,有吸引力,非常正面,7
16,donut,10,low,4,2,低质量,无吸引力,非常正面,8
17,wine,18,high,3,1,高质量,有吸引力,中立,1
17,wine,10,low,3,2,中质量,无吸引力,中立,2
17,cake,20,high,4,2,高质量,有吸引力,中立,3
17,cake,10,low,4,1,低质量,无吸引力,中立,4
17,sandwich,20,high,1,2,高质量,有吸引力,中立,5
17,sandwich,10,low,1,1,中质量,无吸引力,中立,6
17,donut,15,high,2,2,高质量,无区别,中立,7
17,donut,10,low,2,1,高质量,无区别,中立,8
18,wine,20,high,2,2,低质量,有吸引力,正面,1
18,wine,15,low,2,1,中质量,无吸引力,正面,2
18,cake,30,high,1,2,高质量,有吸引力,正面,3
18,cake,15,low,1,1,低质量,无吸引力,正面,4
18,sandwich,15,high,4,1,中质量,有吸引力,正面,5
18,sandwich,25,low,4,2,中质量,无吸引力,正面,6
18,donut,25,high,3,2,中质量,有吸引力,正面,7
18,donut,10,low,3,1,低质量,无吸引力,正面,8
19,wine,50,high,3,2,中质量,无区别,中立,1
19,wine,11,low,3,1,中质量,无区别,中立,2
19,cake,49,high,4,2,中质量,无区别,中立,3
19,cake,12,low,4,1,中质量,无区别,中立,4
19,sandwich,50,high,1,1,中质量,无区别,中立,5
19,sandwich,11,low,1,2,中质量,无区别,中立,6
19,donut,45,high,2,2,中质量,无区别,中立,7
19,donut,10,low,2,1,中质量,无区别,中立,8
20,wine,18,high,1,2,低质量,无吸引力,正面,1
20,wine,12,low,1,1,低质量,有吸引力,正面,2
20,cake,18,high,4,1,中质量,有吸引力,正面,3
20,cake,28,low,4,2,中质量,无吸引力,正面,4
20,sandwich,20,high,3,1,中质量,有吸引力,正面,5
20,sandwich,15,low,3,2,中质量,无吸引力,正面,6
20,donut,18,high,2,2,中质量,无吸引力,正面,7
20,donut,12,low,2,1,低质量,有吸引力,正面,8
21,wine,15,high,1,1,中质量,有吸引力,中立,1
21,wine,15,low,1,2,高质量,无吸引力,中立,2
21,cake,15,high,2,2,高质量,无吸引力,中立,3
21,cake,10,low,2,1,中质量,有吸引力,中立,4
21,sandwich,20,high,3,2,中质量,有吸引力,中立,5
21,sandwich,10,low,3,1,高质量,无吸引力,中立,6
21,donut,23,high,4,2,高质量,有吸引力,中立,7
21,donut,12,low,4,1,低质量,无吸引力,中立,8
22,wine,15,high,2,1,高质量,无吸引力,中立,1
22,wine,25,low,2,2,高质量,有吸引力,中立,2
22,cake,30,high,4,2,高质量,有吸引力,中立,3
22,cake,15,low,4,1,低质量,无吸引力,中立,4
22,sandwich,15,high,3,1,中质量,无吸引力,中立,5
22,sandwich,20,low,3,2,高质量,有吸引力,中立,6
22,donut,15,high,1,2,中质量,有吸引力,中立,7
22,donut,10,low,1,1,低质量,无吸引力,中立,8
23,wine,12,high,3,1,高质量,无吸引力,正面,1
23,wine,20,low,3,2,中质量,有吸引力,正面,2
23,cake,10,high,1,2,高质量,有吸引力,正面,3
23,cake,20,low,1,1,低质量,无吸引力,正面,4
23,sandwich,15,high,4,1,中质量,有吸引力,正面,5
23,sandwich,16,low,4,2,低质量,无吸引力,正面,6
23,donut,14,high,2,1,高质量,有吸引力,正面,7
23,donut,19,low,2,2,低质量,无吸引力,正面,8
24,wine,30,high,3,2,低质量,无吸引力,非常正面,1
24,wine,40,low,3,1,高质量,有吸引力,非常正面,2
24,cake,20,high,4,2,高质量,有吸引力,非常正面,3
24,cake,25,low,4,1,高质量,无吸引力,非常正面,4
24,sandwich,24,high,1,2,中质量,无吸引力,非常正面,5
24,sandwich,30,low,1,1,高质量,有吸引力,非常正面,6
24,donut,33,high,2,2,中质量,有吸引力,非常正面,7
