Num,UserId,Subject IDs,Subject Name,Time,Duration,Source,Source Details,IP,NodeId,Node,Info_Q1,Info_Q2,Info_Q3,Info_Q4,Info_Q5,Info_Q6,Info_Q7,NodeId,Node,Que_Q2,Que_Q3,Que_Q4,Que_Q5,Que_Q6,Que_Q7,Que_Q8,Que_Q9,Que_Q10,Que_Q11,Que_Q12,Que_Q13,Que_Q14,NodeId,Node,Que_Q2,Que_Q3,Que_Q4,Que_Q5,Que_Q6,Que_Q7,Que_Q8,Que_Q9,Que_Q10,Que_Q11,Que_Q12,Que_Q13,Que_Q14,Que_Q15,Que_Q16,Que_Q17,NodeId,Node,Que_Q2_1,Que_Q3_1,Que_Q4_1,Que_Q5_1,NodeId,Node,Que_Q2_item1,Que_Q2_item2,Que_Q3_item1,Que_Q3_item2,Que_Q4_item1,Que_Q4_item2,Que_Q5_item1,Que_Q5_item2
序号,用户ID,被试者记录ID,被试者昵称,提交答卷时间,所用时间,来源,来源详情,IP,节点id,节点名称,1、您的年龄是多少？,2、您的性别是？,3、您完成的最高学历是什么？,4、您目前的职业是什么？,5、您的家庭年收入是多少？,6、您的婚姻状况是？,7、您有几个孩子？,节点id,节点名称,2、请问您在参与本次实验过程中的情绪如何？&nbsp;,3、请问您觉得此图片的拍摄质量如何？,4、请问您觉得此图片的拍摄质量如何？,5、请问您觉得此图片的拍摄质量如何？,6、请问您觉得此图片的拍摄质量如何？,7、请问您觉得此图片的拍摄质量如何？,8、请问您觉得此图片的拍摄质量如何？,9、请问您觉得此图片的拍摄质量如何？,10、请问您觉得此图片的拍摄质量如何？,吸引力1,吸引力2,吸引力3,吸引力4,节点id,节点名称,2、,3、,4、,5、,6、,7、,8、,9、,10、,11、,12、,13、,14、,15、,16、,17、,节点id,节点名称,2、对于一块蛋糕，您愿意支付的最高金额是多少？请选择在10-50元之间。:价格,3、对于一个甜甜圈，您愿意支付的最高金额是多少？请选择在10-50元之间。:价格,4、对于一个三明治，您愿意支付的最高金额是多少？请选择在10-50元之间。:价格,5、对于一杯啤酒，您愿意支付的最高金额是多少？请选择在10-50元之间。:价格,节点id,节点名称,1、图片1(数值需在10-50之间),2、图片2(数值需在10-50之间),1、图片1(数值需在10-50之间),2、图片2(数值需在10-50之间),1、图片1(数值需在10-50之间),2、图片2(数值需在10-50之间),1、图片1(数值需在10-50之间),2、图片2(数值需在10-50之间)
1,***,***,***,***,***,***,***,***,"	869530354065743875",个人信息,35-44岁,男,高中毕业或同等学历,全职工作,￥200000到￥500000,已婚,1个,"	869530354933964801",其他测试,正面,中质量,低质量,中质量,低质量,高质量,高质量,低质量,低质量,图片1,图片2,图片2,图片2,"	869530356360028161",记忆测试,见过,未见过,未见过,未见过,未见过,未见过,未见过,未见过,见过,见过,见过,见过,见过,未见过,见过,见过,"	869530357895143426",支付意愿评估,21,10,10,14,"	869530358285213697",图片展示和支付意愿,15,10,15,10,10,18,16,10
2,***,***,***,***,***,***,***,***,"	869530354065743875",个人信息,25-34岁,男,硕士学位,全职工作,￥200000到￥500000,已婚,1个,"	869530354933964801",其他测试,正面,中质量,低质量,高质量,低质量,高质量,高质量,中质量,中质量,图片2,图片2,图片2,图片2,"	869530356360028161",记忆测试,见过,未见过,未见过,未见过,未见过,未见过,未见过,未见过,见过,见过,见过,见过,见过,未见过,见过,见过,"	869530357895143426",支付意愿评估,27,18,16,14,"	869530358285213697",图片展示和支付意愿,20,17,25,10,23,12,20,15
3,***,***,***,***,***,***,***,***,"	869530354065743875",个人信息,25-34岁,女,学士学位,全职工作,￥100000到￥200000,已婚,无,"	869530354933964801",其他测试,正面,中质量,中质量,低质量,低质量,高质量,高质量,中质量,高质量,图片2,图片2,图片2,图片2,"	869530356360028161",记忆测试,见过,未见过,未见过,未见过,未见过,未见过,未见过,未见过,见过,见过,见过,见过,见过,未见过,见过,见过,"	869530357895143426",支付意愿评估,28,20,18,18,"	869530358285213697",图片展示和支付意愿,18,12,28,30,18,12,18,10
4,***,***,***,***,***,***,***,***,"	869530354065743875",个人信息,18-24岁,男,高中毕业或同等学历,全职工作,￥200000到￥500000,单身从未结婚,无,"	869530354933964801",其他测试,非常正面,高质量,高质量,中质量,低质量,高质量,中质量,高质量,中质量,图片1,图片2,图片1,图片2,"	869530356360028161",记忆测试,见过,未见过,未见过,未见过,未见过,未见过,未见过,未见过,见过,见过,见过,见过,见过,未见过,见过,见过,"	869530357895143426",支付意愿评估,50,17,40,21,"	869530358285213697",图片展示和支付意愿,30,25,48,24,30,38,20,11
5,***,***,***,***,***,***,***,***,"	869530354065743875",个人信息,35-44岁,男,博士学位,全职工作,￥200000到￥500000,已婚,1个,"	869530354933964801",其他测试,非常正面,高质量,高质量,高质量,高质量,高质量,高质量,高质量,高质量,图片1,图片2,图片2,图片1,"	869530356360028161",记忆测试,见过,未见过,未见过,未见过,未见过,未见过,未见过,未见过,见过,见过,见过,见过,见过,未见过,见过,见过,"	869530357895143426",支付意愿评估,35,20,20,27,"	869530358285213697",图片展示和支付意愿,33,35,20,30,20,34,16,18
6,***,***,***,***,***,***,***,***,"	869530354065743875",个人信息,35-44岁,男,学士学位,全职工作,￥100000到￥200000,单身从未结婚,无,"	869530354933964801",其他测试,中立,高质量,低质量,中质量,中质量,高质量,高质量,低质量,中质量,图片2,图片2,图片2,无区别,"	869530356360028161",记忆测试,见过,未见过,未见过,未见过,未见过,未见过,未见过,未见过,见过,见过,见过,见过,见过,未见过,见过,见过,"	869530357895143426",支付意愿评估,50,15,20,10,"	869530358285213697",图片展示和支付意愿,15,10,20,10,20,10,13,10
7,***,***,***,***,***,***,***,***,"	869530354065743875",个人信息,25-34岁,男,硕士学位,全职工作,￥100000到￥200000,已婚,2个,"	869530354933964801",其他测试,正面,中质量,中质量,高质量,高质量,中质量,中质量,高质量,中质量,图片2,图片1,图片2,图片1,"	869530356360028161",记忆测试,见过,未见过,见过,见过,未见过,见过,见过,未见过,见过,见过,见过,未见过,未见过,见过,未见过,见过,"	869530357895143426",支付意愿评估,21,25,28,21,"	869530358285213697",图片展示和支付意愿,25,35,32,15,35,45,35,45
8,***,***,***,***,***,***,***,***,"	869530354065743875",个人信息,25-34岁,男,学士学位,全职工作,￥100000到￥200000,已婚,1个,"	869530354933964801",其他测试,非常正面,中质量,中质量,中质量,中质量,高质量,高质量,高质量,中质量,图片2,图片2,图片1,图片2,"	869530356360028161",记忆测试,见过,未见过,未见过,未见过,未见过,未见过,未见过,未见过,见过,见过,见过,见过,未见过,未见过,见过,见过,"	869530357895143426",支付意愿评估,45,21,14,13,"	869530358285213697",图片展示和支付意愿,40,20,30,30,20,30,10,15
9,***,***,***,***,***,***,***,***,"	869530354065743875",个人信息,18-24岁,男,学士学位,学生,￥500000到￥1000000,单身从未结婚,无,"	869530354933964801",其他测试,正面,中质量,低质量,高质量,低质量,高质量,中质量,中质量,高质量,图片1,图片2,图片2,无区别,"	869530356360028161",记忆测试,见过,未见过,未见过,未见过,未见过,未见过,未见过,未见过,见过,见过,见过,见过,见过,未见过,见过,见过,"	869530357895143426",支付意愿评估,20,18,10,15,"	869530358285213697",图片展示和支付意愿,15,25,20,10,30,15,15,10
10,***,***,***,***,***,***,***,***,"	869530354065743875",个人信息,18-24岁,男,学士学位,学生,￥200000到￥500000,单身从未结婚,无,"	869530354933964801",其他测试,正面,中质量,低质量,中质量,低质量,中质量,中质量,高质量,中质量,图片1,图片2,图片1,图片2,"	869530356360028161",记忆测试,见过,未见过,未见过,未见过,未见过,未见过,未见过,未见过,见过,见过,见过,见过,未见过,未见过,见过,见过,"	869530357895143426",支付意愿评估,33,13,15,15,"	869530358285213697",图片展示和支付意愿,35,45,20,15,12,20,18,12
