Num,Subject IDs,Time,Duration,Source,Source Details,IP,NodeId,Node,Info_Q1,Info_Q2,Info_Q3,Info_Q4,Info_Q5,Info_Q6,Info_Q7,NodeId,Node,Que_Q2,Que_Q3,Que_Q4,Que_Q5,Que_Q6,Que_Q7,Que_Q8,Que_Q9,Que_Q10,Que_Q11,Que_Q12,Que_Q13,Que_Q14,NodeId,Node,Que_Q2,Que_Q3,Que_Q4,Que_Q5,Que_Q6,Que_Q7,Que_Q8,Que_Q9,Que_Q10,Que_Q11,Que_Q12,Que_Q13,Que_Q14,Que_Q15,Que_Q16,Que_Q17,NodeId,Node,Que_Q2_1,Que_Q3_1,Que_Q4_1,Que_Q5_1,NodeId,Node,Que_Q2_item1,Que_Q2_item2,Que_Q3_item1,Que_Q3_item2,Que_Q4_item1,Que_Q4_item2,Que_Q5_item1,Que_Q5_item2
序号,被试者记录ID,提交答卷时间,所用时间,来源,来源详情,IP,节点id,节点名称,1、您的年龄是多少？,2、您的性别是？,3、您完成的最高学历是什么？,4、您目前的职业是什么？,5、您的家庭年收入是多少？,6、您的婚姻状况是？,7、您有几个孩子？,节点id,节点名称,2、请问您在参与本次实验过程中的情绪如何？&nbsp;,3、请问您觉得此图片的拍摄质量如何？,4、请问您觉得此图片的拍摄质量如何？,5、请问您觉得此图片的拍摄质量如何？,6、请问您觉得此图片的拍摄质量如何？,7、请问您觉得此图片的拍摄质量如何？,8、请问您觉得此图片的拍摄质量如何？,9、请问您觉得此图片的拍摄质量如何？,10、请问您觉得此图片的拍摄质量如何？,吸引力1,吸引力2,吸引力3,吸引力4,节点id,节点名称,2、,3、,4、,5、,6、,7、,8、,9、,10、,11、,12、,13、,14、,15、,16、,17、,节点id,节点名称,2、对于一块蛋糕，您愿意支付的最高金额是多少？请选择在10-50元之间。:价格,3、对于一个甜甜圈，您愿意支付的最高金额是多少？请选择在10-50元之间。:价格,4、对于一个三明治，您愿意支付的最高金额是多少？请选择在10-50元之间。:价格,5、对于一杯啤酒，您愿意支付的最高金额是多少？请选择在10-50元之间。:价格,节点id,节点名称,1、图片1(数值需在10-50之间),2、图片2(数值需在10-50之间),1、图片1(数值需在10-50之间),2、图片2(数值需在10-50之间),1、图片1(数值需在10-50之间),2、图片2(数值需在10-50之间),1、图片1(数值需在10-50之间),2、图片2(数值需在10-50之间)
1,***,***,***,***,***,***,"	865248532553146371",个人信息,25-34岁,男,学士学位,全职工作,少于￥50000,已婚,1个,"	865248533438144513",其他测试,中立,高质量,中质量,中质量,高质量,高质量,低质量,高质量,中质量,图片2,图片2,图片2,图片1,"	865248534461554690",记忆测试,见过,未见过,未见过,未见过,未见过,未见过,未见过,未见过,见过,见过,见过,见过,见过,未见过,见过,见过,"	865248535963115521",支付意愿评估,10,10,10,10,"	865248536340602882",图片展示和支付意愿,20,10,20,5,30,15,20,20
2,***,***,***,***,***,***,"	865248532553146371",个人信息,-999,-999,-999,-999,-999,-999,-999,"	865248533438144513",其他测试,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"	865248534461554690",记忆测试,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"	865248535963115521",支付意愿评估,16,10,10,10,"	865248536340602882",图片展示和支付意愿,-999,-999,-999,-999,-999,-999,-999,-999
3,***,***,***,***,***,***,"	865248532553146371",个人信息,25-34岁,女,学士学位,全职工作,￥200000到￥500000,丧偶,无,"	865248533438144513",其他测试,中立,中质量,中质量,中质量,中质量,高质量,中质量,中质量,高质量,无区别,图片2,无区别,图片2,"	865248534461554690",记忆测试,见过,未见过,见过,未见过,见过,未见过,见过,未见过,未见过,见过,见过,见过,见过,未见过,见过,未见过,"	865248535963115521",支付意愿评估,23,24,21,24,"	865248536340602882",图片展示和支付意愿,25,35,25,25,15,12,15,10
4,***,***,***,***,***,***,"	865248532553146371",个人信息,-999,-999,-999,-999,-999,-999,-999,"	865248533438144513",其他测试,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"	865248534461554690",记忆测试,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"	865248535963115521",支付意愿评估,36,44,50,50,"	865248536340602882",图片展示和支付意愿,-999,-999,-999,-999,-999,-999,-999,-999
5,***,***,***,***,***,***,"	865248532553146371",个人信息,-999,-999,-999,-999,-999,-999,-999,"	865248533438144513",其他测试,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"	865248534461554690",记忆测试,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"	865248535963115521",支付意愿评估,25,19,18,16,"	865248536340602882",图片展示和支付意愿,-999,-999,-999,-999,-999,-999,-999,-999
6,***,***,***,***,***,***,"	865248532553146371",个人信息,25-34岁,女,学士学位,全职工作,少于￥50000,已婚,无,"	865248533438144513",其他测试,中立,低质量,低质量,低质量,低质量,中质量,中质量,低质量,中质量,图片2,图片2,图片2,图片2,"	865248534461554690",记忆测试,见过,未见过,未见过,未见过,未见过,见过,未见过,未见过,见过,见过,见过,见过,见过,未见过,见过,见过,"	865248535963115521",支付意愿评估,24,20,16,16,"	865248536340602882",图片展示和支付意愿,15,18,25,18,20,15,16,12
7,***,***,***,***,***,***,"	865248532553146371",个人信息,18-24岁,女,学士学位,全职工作,￥100000到￥200000,单身从未结婚,无,"	865248533438144513",其他测试,中立,中质量,低质量,中质量,低质量,高质量,高质量,中质量,中质量,图片1,图片2,图片2,无区别,"	865248534461554690",记忆测试,见过,未见过,未见过,见过,未见过,未见过,未见过,未见过,见过,见过,见过,见过,见过,未见过,见过,见过,"	865248535963115521",支付意愿评估,30,20,25,18,"	865248536340602882",图片展示和支付意愿,35,32,28,15,23,20,15,15
8,***,***,***,***,***,***,"	865248532553146371",个人信息,-999,-999,-999,-999,-999,-999,-999,"	865248533438144513",其他测试,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"	865248534461554690",记忆测试,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"	865248535963115521",支付意愿评估,-999,-999,-999,-999,"	865248536340602882",图片展示和支付意愿,-999,-999,-999,-999,-999,-999,-999,-999
9,***,***,***,***,***,***,"	865248532553146371",个人信息,-999,-999,-999,-999,-999,-999,-999,"	865248533438144513",其他测试,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"	865248534461554690",记忆测试,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"	865248535963115521",支付意愿评估,-999,-999,-999,-999,"	865248536340602882",图片展示和支付意愿,-999,-999,-999,-999,-999,-999,-999,-999
10,***,***,***,***,***,***,"	865248532553146371",个人信息,-999,-999,-999,-999,-999,-999,-999,"	865248533438144513",其他测试,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"	865248534461554690",记忆测试,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"	865248535963115521",支付意愿评估,-999,-999,-999,-999,"	865248536340602882",图片展示和支付意愿,-999,-999,-999,-999,-999,-999,-999,-999
